id_перевозчика,название,инн,регион,тип_автопарка,статус_компании,дата_регистрации,налоговая_нагрузка,кол_во_водителей,кол_во_тс,gps_мониторинг,страховка,есть_банкротство,репутационный_балл_внешний,id_рейса,дата_рейса,дата_погрузки_план,дата_погрузки_факт,дата_доставки_план,дата_доставки_факт,статус_рейса,цена_рейса_руб,повреждение_груза,есть_претензия,id_клиента,дата_отмены,причина_отмены,отзыв_клиента_звезды,текст_отзыва,дата_отзыва,использовал_мобильное_приложение,дата_отклика
"1003,ПЭК,7712345679,Москва,все_типы,действующая,2010-11-05,0.15,45,42,да,да,нет,92,50010,2026-02-02,2026-02-02 10:00,2026-02-02 10:00,2026-02-02 18:00,2026-02-02 18:00,завершен,62000,нет,нет,9006,,,5,""идеально"",2026-02-03,да,2026-02-01 08:30"
"1003,ПЭК,7712345679,Москва,все_типы,действующая,2010-11-05,0.15,45,42,да,да,нет,92,50011,2026-02-03,2026-02-03 11:00,2026-02-03 11:00,2026-02-03 19:00,2026-02-03 19:00,завершен,61000,нет,нет,9006,,,5,""отлично"",2026-02-04,да,2026-02-02 09:15"
"1003,ПЭК,7712345679,Москва,все_типы,действующая,2010-11-05,0.15,45,42,да,да,нет,92,50012,2026-02-06,2026-02-06 09:00,2026-02-06 09:00,2026-02-06 17:00,2026-02-06 17:05,завершен,63000,нет,нет,9007,,,5,""хорошо"",2026-02-07,да,2026-02-05 14:00"
"1003,ПЭК,7712345679,Москва,все_типы,действующая,2010-11-05,0.15,45,42,да,да,нет,92,50013,2026-02-11,2026-02-11 08:00,2026-02-11 08:00,2026-02-11 16:00,2026-02-11 16:00,завершен,60000,нет,нет,9008,,,5,""отлично"",2026-02-12,да,2026-02-10 11:30"
"1003,ПЭК,7712345679,Москва,все_типы,действующая,2010-11-05,0.15,45,42,да,да,нет,92,50014,2026-02-16,2026-02-16 13:00,2026-02-16 13:00,2026-02-16 21:00,2026-02-16 21:00,завершен,62500,нет,нет,9006,,,4,""хорошо"",2026-02-17,да,2026-02-15 08:00"
"1004,ИП ""Самосвал"",7612345680,Ярославль,самосвалы,действующая,2024-06-15,0.31,1,3,нет,да,нет,30,50015,2026-03-02,2026-03-02 10:00,2026-03-02 11:00,2026-03-02 18:00,2026-03-02 20:00,завершен,40000,нет,нет,9009,,,3,""опоздание"",2026-03-03,нет,2026-03-01 13:20"
"1004,ИП ""Самосвал"",7612345680,Ярославль,самосвалы,действующая,2024-06-15,0.31,1,3,нет,да,нет,30,50016,2026-03-11,2026-03-11 09:00,2026-03-11 09:00,2026-03-11 17:00,2026-03-11 18:30,завершен,41000,да,нет,9009,,,2,""груз поврежден"",2026-03-12,нет,2026-03-10 10:45"
"1005,ТК ""Южный Экспресс"",8612345681,Краснодар,рефрижераторы,действующая,2018-09-12,0.19,8,7,да,да,нет,78,50017,2026-02-21,2026-02-21 08:00,2026-02-21 08:00,2026-02-21 16:00,2026-02-21 16:00,завершен,47000,нет,нет,9010,,,5,""отлично"",2026-02-22,да,2026-02-20 12:00"
"1005,ТК ""Южный Экспресс"",8612345681,Краснодар,рефрижераторы,действующая,2018-09-12,0.19,8,7,да,да,нет,78,50018,2026-02-23,2026-02-23 09:00,2026-02-23 09:15,2026-02-23 17:00,2026-02-23 17:15,завершен,47500,нет,нет,9010,,,4,""хорошо"",2026-02-24,да,2026-02-22 09:30"
"1005,ТК ""Южный Экспресс"",8612345681,Краснодар,рефрижераторы,действующая,2018-09-12,0.19,8,7,да,да,нет,78,50019,2026-02-26,2026-02-26 10:00,2026-02-26 10:00,2026-02-26 18:00,2026-02-26 18:00,завершен,46500,нет,нет,9011,,,5,""отлично"",2026-02-27,да,2026-02-25 11:15"
"1005,ТК ""Южный Экспресс"",8612345681,Краснодар,рефрижераторы,действующая,2018-09-12,0.19,8,7,да,да,нет,78,50020,2026-03-06,2026-03-06 11:00,2026-03-06 11:30,2026-03-06 19:00,2026-03-06 20:00,завершен,48000,нет,нет,9012,,,4,""хорошо"",2026-03-07,да,2026-03-05 09:45"
